Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l),Strategy 2 (days),Strategy 2 (aggregated p&l)
bcd,3/16/2023,8,-0.21%,11,0.56%
bcd,3/17/2023,9,-0.02%,12,0.74%
bcd,3/20/2023,10,0.62%,13,1.39%
bcd,3/21/2023,11,1.00%,14,1.78%
bcd,3/22/2023,12,1.37%,15,2.15%
bcd,3/23/2023,13,2.44%,16,3.23%
bcd,3/24/2023,14,2.07%,17,2.85%
bcd,3/27/2023,15,1.31%,18,2.08%
bcd,3/28/2023,16,1.63%,19,2.41%
bcd,3/29/2023,17,2.07%,20,2.85%
bcd,3/30/2023,18,2.08%,21,2.86%
bcd,3/31/2023,19,2.63%,22,3.41%
bcd,4/3/2023,20,2.15%,23,2.93%
bcd,4/4/2023,21,2.52%,24,3.31%
bcd,4/5/2023,22,3.05%,25,3.83%
bcd,4/6/2023,23,2.61%,26,3.40%
bcd,4/7/2023,24,2.82%,27,3.60%
bcd,4/10/2023,25,2.66%,28,3.45%
bcd,4/11/2023,26,2.14%,29,2.92%
bcd,4/12/2023,27,2.58%,30,3.37%
bcd,4/13/2023,28,3.40%,31,4.19%
bcd,4/14/2023,29,3.88%,32,4.67%
bcd,4/17/2023,30,3.40%,33,4.19%
bcd,4/18/2023,31,2.73%,34,3.51%
bcd,4/19/2023,32,3.15%,35,3.93%
bcd,4/20/2023,33,2.96%,36,3.75%
bcd,4/21/2023,34,3.06%,37,3.84%
bcd,4/24/2023,35,3.16%,38,3.95%
bcd,4/25/2023,36,3.82%,39,4.61%
bcd,4/26/2023,37,3.11%,40,3.90%
bcd,4/27/2023,38,3.73%,41,4.52%
bcd,4/28/2023,39,3.59%,42,4.38%
bcd,5/1/2023,40,3.51%,43,4.30%
bcd,5/2/2023,41,3.06%,44,3.85%
bcd,5/3/2023,42,3.34%,45,4.13%
bcd,5/4/2023,43,3.90%,46,4.69%
bcd,5/5/2023,44,3.46%,47,4.25%
bcd,5/8/2023,45,3.56%,48,4.35%
bcd,5/9/2023,46,3.36%,49,4.15%
bcd,5/10/2023,47,2.98%,50,3.76%
bcd,5/11/2023,48,3.07%,51,3.85%
bcd,5/12/2023,49,2.50%,52,3.29%
bcd,5/15/2023,50,1.88%,53,2.66%
bcd,5/16/2023,51,2.08%,54,2.86%
bcd,5/17/2023,52,1.56%,55,2.79%
bcd,5/18/2023,0,0.00%,56,1.99%
bcd,5/19/2023,0,0.00%,0,0.00%
bcd,5/22/2023,0,0.00%,0,0.00%
bcd,5/23/2023,0,0.00%,0,0.00%
bcd,5/24/2023,0,0.00%,0,0.00%
bcd,5/25/2023,0,0.00%,0,0.00%
bcd,5/26/2023,0,0.00%,0,0.00%
bcd,5/30/2023,0,0.00%,0,0.00%
bcd,5/31/2023,0,0.00%,0,0.00%
bcd,6/1/2023,0,0.00%,0,0.00%
bcd,6/2/2023,0,0.00%,0,0.00%
bcd,6/5/2023,0,0.00%,0,0.00%
bcd,6/6/2023,0,0.00%,1,0.03%
bcd,6/7/2023,0,0.00%,2,-0.06%
bcd,6/8/2023,1,0.02%,3,0.10%
bcd,6/9/2023,2,0.83%,4,0.91%
bcd,6/12/2023,3,0.55%,5,0.62%
bcd,6/13/2023,4,0.61%,6,0.68%
bcd,6/14/2023,5,0.90%,7,0.98%
bcd,6/15/2023,6,1.30%,8,1.37%
bcd,6/16/2023,7,2.35%,9,2.43%
bcd,6/20/2023,8,2.29%,10,2.37%
bcd,6/21/2023,9,2.66%,11,2.73%
bcd,6/22/2023,0,0.00%,0,0.00%
bcd,6/23/2023,0,0.00%,0,0.00%
bcd,6/26/2023,0,0.00%,0,0.00%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
